threshold,precision,recall,f1,predicted_fraud_count
0.05,0.6610169491525424,0.8210526315789474,0.7323943661971831,118
0.1,0.8260869565217391,0.8,0.8128342245989305,92
0.15000000000000002,0.8735632183908046,0.8,0.8351648351648352,87
0.2,0.9146341463414634,0.7894736842105263,0.847457627118644,82
0.25,0.9230769230769231,0.7578947368421053,0.8323699421965318,78
0.3,0.922077922077922,0.7473684210526316,0.8255813953488372,77
0.35000000000000003,0.9466666666666667,0.7473684210526316,0.8352941176470589,75
0.4,0.9459459459459459,0.7368421052631579,0.8284023668639053,74
0.45,0.9583333333333334,0.7263157894736842,0.8263473053892215,72
0.5,0.9583333333333334,0.7263157894736842,0.8263473053892215,72
0.55,0.971830985915493,0.7263157894736842,0.8313253012048193,71
0.6000000000000001,0.9855072463768116,0.7157894736842105,0.8292682926829268,69
0.6500000000000001,0.9852941176470589,0.7052631578947368,0.8220858895705522,68
0.7000000000000001,0.9846153846153847,0.6736842105263158,0.8,65
0.7500000000000001,0.9841269841269841,0.6526315789473685,0.7848101265822784,63
0.8,0.9824561403508771,0.5894736842105263,0.7368421052631579,57
0.8500000000000001,0.9803921568627451,0.5263157894736842,0.684931506849315,51
0.9000000000000001,0.9782608695652174,0.47368421052631576,0.6382978723404256,46
0.9500000000000001,0.9705882352941176,0.3473684210526316,0.5116279069767442,34
