threshold,precision,recall,f1,predicted_fraud_count
0.05,0.0049162614802809295,0.9578947368421052,0.009782316581564096,18510
0.1,0.008666017526777021,0.9368421052631579,0.01717317896767969,10270
0.15000000000000002,0.012598425196850394,0.9263157894736842,0.024858757062146894,6985
0.2,0.01670186216164331,0.9157894736842105,0.032805429864253395,5209
0.25,0.02097018696311268,0.8736842105263158,0.040957315568714535,3958
0.3,0.026748308088946182,0.8736842105263158,0.05190744215134459,3103
0.35000000000000003,0.03298887122416534,0.8736842105263158,0.06357717349674455,2516
0.4,0.03992303992303992,0.8736842105263158,0.07635694572217111,2079
0.45,0.04737442922374429,0.8736842105263158,0.08987547374120194,1752
0.5,0.05642420122365738,0.8736842105263158,0.10600255427841634,1471
0.55,0.06693548387096775,0.8736842105263158,0.12434456928838951,1240
0.6000000000000001,0.07889733840304182,0.8736842105263158,0.14472537053182213,1052
0.6500000000000001,0.09507445589919816,0.8736842105263158,0.17148760330578514,873
0.7000000000000001,0.11592178770949721,0.8736842105263158,0.20468557336621454,716
0.7500000000000001,0.1404109589041096,0.8631578947368421,0.24153166421207659,584
0.8,0.16096579476861167,0.8421052631578947,0.2702702702702703,497
0.8500000000000001,0.1984924623115578,0.8315789473684211,0.3204868154158215,398
0.9000000000000001,0.2633333333333333,0.8315789473684211,0.4,300
0.9500000000000001,0.4342857142857143,0.8,0.562962962962963,175
